"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"1548","LJP006 HME1 24H-PHA-793887-1.11","16/61",8.13094714876462e-07,1.690041741985e-05,0,0,5.31598222222222,74.5429260430266,"ITIH5;GPM6A;GSTM3;MME;GSTP1;CYP4B1;DHRS2;EDNRA;EFS;KCNMA1;ID3;SIK1;PIP5K1B;NDP;E2F5;ABCG2",25,4,0,0,100,16
"1549","LJP006 HS578T 24H-GW-843682X-3.33","16/61",8.13094714876462e-07,1.690041741985e-05,0,0,5.31598222222222,74.5429260430266,"VAV3;LEFTY1;FHL1;PLA2G2A;LYVE1;DHRS2;THBS4;CDC20;NELL2;CENPE;NT5E;CCND2;COL2A1;KRT15;KRT14;RGS10",12.5,2,0,0,100,16
"1550","LJP006 SKBR3 3H-AZD-8055-1.11","16/61",8.13094714876462e-07,1.690041741985e-05,0,0,5.31598222222222,74.5429260430266,"VAV3;CXCL9;SYNM;GDF15;CYBA;NAV2;CLU;DKK1;ADAMTS5;GPRC5B;LGALS1;HIST3H2A;CPS1;HIST1H3H;HIST1H2BG;PTGES",25,4,0,0,100,16
"1551","LJP007 MCF7 24H-idelalisib-3.33","16/61",8.13094714876462e-07,1.690041741985e-05,0,0,5.31598222222222,74.5429260430266,"IL1RN;SPINK2;SERPINB13;KRT4;HPGD;KRT13;KRT23;CXCL13;ATP1B1;MMP9;CXCL10;VSNL1;KRT17;CEACAM6;PHLDA1;KRT6A",18.75,3,0,0,100,16
"1552","CPC006 A375 24H-teniposide-1.25","32/197",8.14814319415311e-07,1.69252474415662e-05,0,0,2.91836353813663,40.9163485941221,"GABRB3;GLP1R;SLC26A1;HFE;CLCNKB;AKR1B1;RAP1GAP;ELAVL2;CDC20;CCND2;CA3;GMDS;APOF;APOE;CGA;GDF10;DTNA;UBE2C;CAV2;EGF;EN2;CYP4B1;HTR3A;L1CAM;CDC25C;CENPF;KIF18B;FAM163A;DDIT4;APOC1;NOX4;FGFR2",9.375,3,0,0,100,32
"1553","LJP005 HS578T 3H-WH-4-025-10","13/41",8.17899022900762e-07,1.69565457879581e-05,0,0,6.93130771861817,97.1528614495782,"CA12;SPON2;SERPINB13;HPGD;PLA2G2A;KRT13;GJA1;TRIM29;CEACAM5;DDIT4;LY6D;SIK1;RHCG",23.0769230769231,3,0,0,100,13
"1554","LJP006 HME1 3H-GSK-1904529A-0.04","13/41",8.17899022900762e-07,1.69565457879581e-05,0,0,6.93130771861817,97.1528614495782,"CA12;GSTM3;GPX3;CDKN2A;KRT23;AKR1C2;KRT7;CLU;DHRS2;RAP1GAP;TFF3;TIMP3;CRYAB",30.7692307692308,4,7.69230769230769,1,100,13
"1555","LJP006 HS578T 24H-sirolimus-1.11","13/41",8.17899022900762e-07,1.69565457879581e-05,0,0,6.93130771861817,97.1528614495782,"CFD;COL11A1;FN1;ATP1B1;CXCL14;ASS1;COMP;MFAP5;EFEMP1;PEG10;PDGFD;MIR22HG;ITGBL1",0,0,0,0,100,13
"1556","LJP009 HCC515 24H-PD-0325901-10","25/133",8.29349364874929e-07,1.71608246629255e-05,0,0,3.47427403229176,48.6489541329336,"HSPB8;DEFB1;CLU;WFDC2;TRIM29;PENK;ME1;VAV3;CA12;SLC34A2;RBPMS;BHMT2;FN1;ATP2B4;AKR1C2;KRT5;ALDH3A1;AMACR;SLPI;KRT17;SCNN1A;SCGB1A1;KRT14;CRYAB;CES1",24,6,0,0,100,25
"1557","LJP006 HME1 24H-dasatinib-0.12","25/133",8.29349364874929e-07,1.71608246629255e-05,0,0,3.47427403229176,48.6489541329336,"CFD;GPM6A;SNAP25;IFI6;HBB;KRT20;PDGFD;E2F2;PTGDS;TP63;SPINK1;PTGIS;GDF15;AKR1C2;PNMA2;OLFM4;RNASE1;MEIS2;ASS1;AKR1B10;KLF5;SLPI;ID3;CHI3L1;S100P",12,3,0,0,100,25
