"modules","drugs","module_size","DEG_up","DEG_down","drug_module_genes","DE_drug","p_value","adjusted_pvalue"
19,"imatinib homo sapiens gpl201 gds838 chdir down",67,4,0,1,0,NA,NA
19,"valproic acid mus musculus gpl6885 gse41020 chdir down",67,4,0,1,0,NA,NA
19,"cyclophosphamide mus musculus gpl13209 gse27423 chdir down",67,4,0,2,0,NA,NA
19,"cyclophosphamide mus musculus gpl13209 gds4005 chdir down",67,4,0,2,0,NA,NA
19,"dexamethasone homo sapiens gpl570 gse37474 chdir down",67,4,0,1,0,NA,NA
19,"valproic acid homo sapiens gpl570 gse14973 chdir down",67,4,0,6,0,0.0050073414399302,0.499303475010182
19,"dexamethasone homo sapiens gpl8300 gse8546 chdir down",67,4,0,2,0,NA,NA
19,"dexamethasone mus musculus gpl339 gse2342 chdir down",67,4,0,3,0,0.0402234993976082,1
19,"celecoxib homo sapiens gpl8300 gds3384 chdir down",67,4,0,3,0,NA,NA
19,"captopril mus musculus gpl1261 gds3683 chdir down",67,4,0,2,0,NA,NA
19,"vorinostat homo sapiens gpl571 gse18544 chdir down",67,4,0,1,0,NA,NA
19,"cyclophosphamide mus musculus gpl13209 gse27422 chdir down",67,4,0,1,0,NA,NA
19,"dexamethasone rattus norvegicus gpl1355 gse29912 chdir down",67,4,0,4,0,NA,NA
19,"doxorubicin homo sapiens gpl10558 gse42531 chdir down",67,4,0,4,0,NA,NA
19,"estradiol homo sapiens gpl6947 gse27375 chdir down",67,4,0,1,0,NA,NA
19,"deferasirox homo sapiens gpl570 gds3558 chdir down",67,4,0,5,1,NA,NA
27,"prednisolone homo sapiens gpl570 gse32962 chdir down",89,4,0,16,3,8.76916935184081e-07,0.000204029340252829
27,"ethanol homo sapiens gpl96 gds2767 chdir down",89,4,0,5,1,NA,NA
27,"tocilizumab homo sapiens gpl6244 gse25160 chdir down",89,4,0,2,0,NA,NA
27,"doxorubicin mus musculus gpl8321 gse17115 chdir down",89,4,0,4,0,0.002949690517982,0.114382443419524
27,"rosiglitazone homo sapiens gpl570 gds2453 chdir down",89,4,0,6,0,0.00920956259393955,0.32141373452849
27,"celecoxib homo sapiens gpl8300 gse11237 chdir down",89,4,0,4,0,0.00646812956048087,0.237618654379771
27,"letrozole homo sapiens gpl3921 gse33366 chdir down",89,4,0,2,0,NA,NA
27,"dexamethasone homo sapiens gpl3921 gse28896 chdir down",89,4,0,1,0,NA,NA
27,"isotretinoin homo sapiens gpl8300 gds3215 chdir down",89,4,0,1,0,NA,NA
27,"enzalutamide homo sapiens gpl570 gse44905 chdir down",89,4,0,13,0,4.9218071992975e-06,0.000572570237518276
27,"imatinib homo sapiens gpl201 gds838 chdir down",89,4,0,3,0,0.0314309109745581,0.707702447104566
27,"valproic acid mus musculus gpl6885 gse41020 chdir down",89,4,0,3,1,NA,NA
