"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"pioglitazone mus musculus gpl6246 gse37534 chdir up","6/75",5.63043234462016e-06,0.000262002785102991,0,0,13.4453781512605,162.518646396716,"CD4;PRF1;GIMAP4;CYTIP;ARHGAP15;SAMHD1"
"imatinib homo sapiens gpl201 gds838 chdir up","10/275",5.84800203406897e-06,0.000255119088736259,0,0,6.11153552330023,73.6404002303673,"CD52;HPGDS;GLIPR1;NCF4;ITGB2;IRF8;CSF2RB;MNDA;CFLAR;CORO1A"
"celecoxib homo sapiens gpl8300 gse11237 chdir down","6/85",1.16523099339478e-05,0.000478430137287973,0,0,11.8635689569946,134.770215956677,"CCR1;NCF4;CD37;CD48;CSF2RB;CD3D"
"dexamethasone homo sapiens gpl570 gse37474 chdir up","9/240",1.36592687655172e-05,0.000529676088796167,0,0,6.30252100840336,70.5951191365295,"CD52;CCL13;HPGDS;PTPRC;EVI2A;GZMA;CD48;CST7;CD3D"
"doxorubicin mus musculus gpl8321 gse17115 chdir down","7/133",1.48090094146999e-05,0.000544036240603186,0,0,8.84564352056612,98.3659868922365,"PLVAP;GLIPR1;IGSF6;FGL2;LY86;CYBB;TLR2"
"celecoxib homo sapiens gpl8300 gds3384 chdir up","6/89",1.51859916614832e-05,0.000529991108985762,0,0,11.3303748465678,125.712062954574,"CD52;NCF4;CD37;CD48;CSF2RB;CD3D"
"decitabine homo sapiens gpl96 gse19610 chdir up","5/56",2.05411341438846e-05,0.000682748172972925,0,0,15.0060024009604,161.961001480125,"ENTPD1;RGS1;GZMA;SLAMF8;TREM2"
"captopril mus musculus gpl1261 gds3683 chdir down","18/1034",3.93368689990217e-05,0.00124805157096896,0,0,2.9257350909416,29.6767501674523,"CD52;IL10RB;LY86;FMO1;GIMAP4;SAMHD1;CORO1A;ADCY7;CTSS;PYCARD;GLIPR1;PTPRC;SELL;IRF8;CD37;PTPN6;CYTIP;TKT"
"tocilizumab homo sapiens gpl6244 gse25160 chdir down","7/176",8.87539851221297e-05,0.00269349050501072,0,0,6.68449197860962,62.3639186352426,"CX3CR1;RGS1;GZMA;AQP9;PRF1;FPR3;SIGLEC1"
"bleomycin mus musculus gpl339 gds1492 chdir up","7/177",9.19587667963218e-05,0.00267446746765969,0,0,6.64672648720505,61.7758076994187,"CD52;TYROBP;CCL8;CLEC7A;ITGB2;LY86;CTSS"
"bleomycin mus musculus gpl6885 gse37635 chdir up","6/132",0.000139050412590886,0.00388228751953755,0,0,7.63941940412529,67.8431933542879,"CX3CR1;CCL8;CLEC7A;LY86;SIGLEC1;CCR5"
"valproic acid mus musculus gpl6885 gse41020 chdir down","7/207",0.0002419307897041,0.00649491120051776,0,0,5.68343279340722,47.3251427432204,"EVI2A;SELL;LY86;IRF8;PTPN6;CST7;CORO1A"
"valproic acid homo sapiens gpl570 gse14973 chdir down","10/473",0.000531855912610951,0.0137494602593498,0,0,3.55321832750013,26.7882031242153,"SASH3;PTPRC;WIPF1;MX2;RNASE6;SLA;GZMB;CFLAR;CST7;ADCY7"
"sevoflurane homo sapiens gpl570 gds2772 chdir up","20/1534",0.00069919440551035,0.0174299176802223,0,0,2.1912285122654,15.9205498557675,"FCN1;GCA;NCF2;AQP9;PLEK;FPR1;SLA;CFLAR;CORO1A;SAMSN1;CTSS;PTPRE;GLIPR1;PTPRC;FCGR3B;SELL;MNDA;CYTIP;EVI2B;TLR2"
"imatinib homo sapiens gpl571 gds4175 chdir up","6/186",0.000868493261196491,0.0209037343556949,0,0,5.42152344808891,38.2149673702477,"NCF2;RGS1;PLEK;CCL4;CFLAR;EVI2B"
