"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 BT20 24H-pelitinib-10","6/60",0.000165239422686705,0.03748558163566,0,0,7.32600732600733,63.7957149394022,"IFI27;SCO2;STAT1;CD58;IFI44L;PSMB8"
"LJP007 HA1E 24H-TPCA-1-1.11","6/60",0.000165239422686705,0.0372305776789549,0,0,7.32600732600733,63.7957149394022,"IFI27;IFI16;MX1;IRF7;ISG15;IFIT1"
"CPC006 VCAP 24H-BRD-K41859756-10.0","9/145",0.000173638432167165,0.0388586385933019,0,0,4.54717696097006,39.3718926720196,"RFX5;PPFIA1;CASP1;CDC42EP2;ATXN7L1;ME2;PVR;ACTB;PSMB10"
"LJP009 HA1E 24H-JWE-035-1.11","5/39",0.000179905547130568,0.0399909505135004,0,0,9.39231708462477,80.9906882968049,"HERC5;IFI44;CD58;GBP1;IFI44L"
"LJP006 MDAMB231 3H-AT-7519-0.12","6/61",0.000181192119178922,0.0400084278621673,0,0,7.20590884525311,62.0857694663395,"CXCL10;CXCL11;TNFSF10;FAS;GBP1;ZFP36L2"
"LJP008 HA1E 24H-rocilinostat-10","9/146",0.000182874277756983,0.0401124434012519,0,0,4.51603191329219,38.8681844709285,"RTP4;CXCL10;CXCL11;IFI27;CDC42EP3;CD58;GBP1;PSMB8;CNDP2"
"LJP006 HEPG2 24H-A443654-0.37","8/116",0.000193739066067688,0.0422159974159729,0,0,5.05241884552229,43.1931202451548,"BST2;IFITM1;IFITM2;FGG;ISG15;IFI35;NBN;LTBP1"
"LJP005 A549 24H-TWS-119-10","6/62",0.000198336481525534,0.0429353111412237,0,0,7.08968450903935,60.4434283443796,"CEACAM1;IFI27;MX1;IFIT1;XAF1;IFI44L"
"LJP005 HCC515 24H-withaferin-a-1.11","6/62",0.000198336481525534,0.0426565104195274,0,0,7.08968450903935,60.4434283443796,"IFITM1;IFITM2;OAS1;CCL20;CD58;TRIM22"
"LJP006 HEPG2 24H-BI-2536-0.12","6/62",0.000198336481525534,0.0423813071264982,0,0,7.08968450903935,60.4434283443796,"NAMPT;LYZ;PSMB8;CD200;CNDP2;MAPK13"
"LJP009 MCF7 24H-sunitinib-0.12","7/88",0.000202291723714041,0.0429493857764919,0,0,5.82750582750583,49.5675974684224,"IFITM1;NAMPT;TNFSF10;DNAJC12;IFIT1;IFI44L;HS3ST1"
"LJP006 HT29 24H-BI-2536-0.37","7/88",0.000202291723714041,0.0426758228097626,0,0,5.82750582750583,49.5675974684224,"CD52;DNAJC12;IFI44;CD58;IFI44L;CD200;LY6E"
"LJP008 HA1E 24H-GSK-1070916-1.11","5/40",0.000203332934715602,0.0426239881690852,0,0,9.15750915750916,77.84492536522,"IFI27;IFI44;IFIT1;APOL1;LY6E"
"CPC014 NPC 24H-BRD-K19540840-10.0","5/40",0.000203332934715602,0.0423559127717954,0,0,9.15750915750916,77.84492536522,"HNRNPA3;FASTKD1;CASP1;FAS;MAPK13"
"LJP009 A375 24H-olaparib-0.04","5/40",0.000203332934715602,0.0420911883169717,0,0,9.15750915750916,77.84492536522,"SPRED2;IFI27;IFI44;ISG15;IFIT2"
"LJP006 HME1 3H-BMS-345541-0.37","5/40",0.000203332934715602,0.0418297523646923,0,0,9.15750915750916,77.84492536522,"CXCL6;SP100;CCL20;CDC42EP3;CASP1"
"LJP006 MCF7 3H-radicicol-10","5/40",0.000203332934715602,0.0415715440167621,0,0,9.15750915750916,77.84492536522,"CXCL10;CXCL11;TNFSF10;GBP1;ZFP36L2"
"LJP007 HT29 24H-XMD-885-1.11","5/40",0.000203332934715602,0.04131650386942,0,0,9.15750915750916,77.84492536522,"BST2;ALB;DNAJC12;TRIM14;HS3ST1"
