"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"CPC006 PL21 6H-BRD-K57080016-80.0","9/72",2.0376283956248e-05,0.00478640355258788,0,0,5.91016548463357,63.8365182302909,"TNIP1;EED;HFE;COBLL1;CCL5;ARRB2;ARHGAP15;IKBKE;ETV6"
"CPC015 HEPG2 6H-brompheniramine maleate-10.0","9/72",2.0376283956248e-05,0.00475269648531614,0,0,5.91016548463357,63.8365182302909,"SASH3;CDV3;CYLD;USP15;FAM125B;CASP1;TAPBPL;IGF1R;RELB"
"LJP007 HA1E 24H-BMS509744-10","9/72",2.0376283956248e-05,0.00471946084555868,0,0,5.91016548463357,63.8365182302909,"ITK;GLIPR1;TRAF3IP3;FCGR2A;CCL5;TRBC1;CST7;AIF1;GBP1"
"LJP008 HA1E 24H-I-BET151-0.12","9/72",2.0376283956248e-05,0.00468668681190897,0,0,5.91016548463357,63.8365182302909,"CXCL11;TNFSF10;GBP2;SAMSN1;RASGRP1;GBP1;CYTH1;IGF1R;ICAM1"
"CPC018 HT29 6H-u-0126-10.0","13/152",2.16069081165171e-05,0.00493546485329078,0,0,4.04379743685455,43.4404837515727,"DDX58;EED;STAT1;CPOX;CYBB;CFLAR;AIF1;TNIP1;COBLL1;CCL5;RFX5;BAHCC1;GBP1"
"CPD002 PC3 24H-methyl benzethonium chloride-10.0","13/152",2.16069081165171e-05,0.00490166029950112,0,0,4.04379743685455,43.4404837515727,"FNBP1;EED;HFE;CPOX;ATRN;HLA-DMA;PTPRC;TNIP1;CLEC7A;COBLL1;CCL5;RFX5;IKBKE"
"LJP005 HS578T 3H-PD-184352-0.12","7/41",2.17586066465141e-05,0.00490249531115097,0,0,8.07242114974341,86.661486704387,"RAP1GAP2;CXCL11;SLC7A7;DPYD;GZMB;CYBB;GBP1"
"LJP006 HT29 24H-Y-39983-1.11","7/41",2.17586066465141e-05,0.00486937034283238,0,0,8.07242114974341,86.661486704387,"CECR1;HERC5;STK10;MX1;ISG15;IFI44L;PSMB8"
"CPC017 MCF7 24H-thm-i-94-10.0","16/222",2.17588232394272e-05,0.00483673815109442,0,0,3.40766298213107,36.582936013492,"BTN3A1;EED;ERAP1;UBE2L6;KBTBD11;CRYZ;HLA-DMA;CD4;BCL6;RFX5;ATXN7L1;EVI2B;IKBKE;CD44;MYO1F;ASB1"
"CPC018 MCF7 24H-vorinostat-10.0","16/222",2.17588232394272e-05,0.00480449323008712,0,0,3.40766298213107,36.582936013492,"ITSN2;APOBEC3G;BTN3A1;EED;UBE2L6;HLA-DMA;CD4;FRAT2;BCL6;CASP10;RFX5;ZYX;ATXN7L1;CD44;MYO1F;ASB1"
"CPC014 SKB 24H-h7270-10.0","15/198",2.18851863687604e-05,0.00480039243522989,0,0,3.5819184755355,38.4329127141481,"ACVR1;CD52;APOBEC3G;PTPN22;TAPBPL;LILRB2;CFLAR;ARHGAP15;UBE2J1;ISG20;HLA-DMA;FAM125B;RFX5;CD247;CYTH1"
"CPC006 SW948 6H-nicardipine hydrochloride-10.0","6/28",2.19289540337156e-05,0.00477834793783352,0,0,10.1317122593718,108.689996883009,"PLXND1;TNIP1;COBLL1;CCL5;DPYD;ARRB2"
