Gene Module seed_gene
10491 7008 0
10493 7008 0
10497 7008 1
10501 7008 1
1051 7008 0
10512 7008 0
10519 7008 0
10523 7008 0
10525 7008 0
10528 7008 0
1053 7008 0
10534 7008 0
105375355 7008 1
10538 7008 0
10539 7008 0
1054 7008 0
10541 7008 0
10542 7008 0
10548 7008 0
10549 7008 0
10550 7008 0
10551 7008 0
10556 7008 0
10559 7008 0
10560 7008 0
10561 7008 1
10562 7008 0
10563 7008 0
10564 7008 0
10567 7008 0
10568 7008 0
10572 7008 0
10573 7008 0
10577 7008 0
10581 7008 0
10587 7008 0
10588 7008 0
10591 7008 0
10594 7008 0
10595 7008 0
10598 7008 0
10600 7008 0
10613 7008 1
10615 7008 1
10622 7008 0
10626 7008 0
10627 7008 0
10628 7008 0
10632 7008 0
10633 7008 0
10643 7008 0
10650 7008 0
10653 7008 0
10656 7008 0
10657 7008 0
1066 7008 1
10661 7008 0
10664 7008 0
10669 7008 0
10670 7008 0
10671 7008 0
1068 7008 0
10682 7008 0
10683 7008 0
10687 7008 0
1069 7008 0
10690 7008 0
10692 7008 0
10694 7008 1
107 7008 0
1070 7008 0
10712 7008 0
10724 7008 0
10728 7008 0
10730 7008 0
10735 7008 0
10747 7008 0
10750 7008 0
10761 7008 0
10762 7008 0
10763 7008 0
10769 7008 0
10782 7008 0
10786 7008 0
10797 7008 1
107987423 7008 1
10799 7008 0
10802 7008 0
10803 7008 1
10808 7008 0
10825 7008 0
10842 7008 0
10846 7008 0
10857 7008 0
10858 7008 0
10874 7008 0
1088 7008 0
10881 7008 0
10882 7008 0
10884 7008 0
10885 7008 0
1089 7008 0
10892 7008 0
10897 7008 0
10899 7008 0
10904 7008 0
10907 7008 0
10908 7008 0
10916 7008 0
10921 7008 0
10923 7008 0
10924 7008 0
10935 7008 1
10940 7008 0
10944 7008 0
10945 7008 0
10947 7008 0
10949 7008 0
10950 7008 0
10951 7008 0
10954 7008 1
10955 7008 0
10956 7008 0
10957 7008 0
10959 7008 0
10960 7008 0
10961 7008 0
10962 7008 0
10964 7008 0
10972 7008 0
10973 7008 0
10974 7008 0
10975 7008 0
10978 7008 0
10979 7008 0
10980 7008 0
10981 7008 0
10992 7008 0
10993 7008 0
10994 7008 0
11000 7008 0
11004 7008 1
11009 7008 0
11012 7008 0
11013 7008 0
11015 7008 0
11017 7008 0
1102 7008 0
11022 7008 0
11024 7008 0
11026 7008 0
11031 7008 0
11033 7008 0
11034 7008 0
1104 7008 0
11040 7008 0
1105 7008 0
11059 7008 0
11061 7008 0
11065 7008 1
11073 7008 0
11075 7008 0
11078 7008 0
11079 7008 0
11080 7008 0
11082 7008 0
11100 7008 0
11103 7008 0
11107 7008 0
1112 7008 0
11126 7008 0
11133 7008 1
11136 7008 0
11137 7008 0
11138 7008 0
1114 7008 0
11140 7008 0
11141 7008 0
11142 7008 0
11145 7008 0
11146 7008 0
11153 7008 0
1116 7008 1
11163 7008 0
11167 7008 0
11174 7008 0
1118 7008 0
11188 7008 0
11189 7008 0
11190 7008 0
11197 7008 0
11199 7008 0
1120 7008 0
11202 7008 0
11224 7008 0
11226 7008 0
1123 7008 0
11230 7008 0
11231 7008 0
11235 7008 0
11238 7008 0
112398 7008 0
112399 7008 0
11247 7008 0
11251 7008 1
11252 7008 0
11254 7008 0
11259 7008 0
11264 7008 0
11267 7008 0
11274 7008 0
1131 7008 0
113146 7008 0
11315 7008 0
11316 7008 0
113177 7008 0
11328 7008 1
11331 7008 0
11332 7008 0
11336 7008 0
11338 7008 0
1134 7008 0
113419 7008 0
11342 7008 0
11346 7008 0
1135 7008 0
1136 7008 0
1137 7008 0
1138 7008 0
114049 7008 0
114088 7008 0
1146 7008 0
114881 7008 0
114882 7008 0
114883 7008 0
114884 7008 0
114897 7008 0
1149 7008 0
114908 7008 0
114932 7008 0
115207 7008 0
1154 7008 0
115653 7008 0
115939 7008 0
116 7008 0
116039 7008 0
116138 7008 0
1164 7008 1
116832 7008 0
116987 7008 1
117246 7008 0
1173 7008 0
1174 7008 0
1178 7008 1
1182 7008 0
1191 7008 0
1200 7008 0
120526 7008 0
1207 7008 0
1213 7008 0
1215 7008 0
123 7008 0
1232 7008 1
1233 7008 0
124 7008 0
124565 7008 0
124801 7008 0
125 7008 0
1258 7008 0
125893 7008 0
1259 7008 0
126070 7008 0
1265 7008 0
1266 7008 0
1271 7008 0
1277 7008 0
1278 7008 0
128 7008 0
1281 7008 0
1282 7008 0
128553 7008 1
1287 7008 0
1289 7008 0
1292 7008 1
1293 7008 0
1297 7008 0
1298 7008 0
1299 7008 0
1301 7008 0
1306 7008 0
1311 7008 0
1312 7008 0
1315 7008 0
131578 7008 0
1316 7008 0
1317 7008 0
1318 7008 0
132 7008 0
1325 7008 0
1326 7008 0
1329 7008 0
133 7008 0
134 7008 0
1340 7008 0
1347 7008 0
1349 7008 0
1351 7008 0
1353 7008 0
1356 7008 0
1359 7008 1
136 7008 0
1361 7008 0
1362 7008 0
1363 7008 0
1366 7008 1
1368 7008 0
1370 7008 0
1371 7008 0
1373 7008 0
1374 7008 0
1380 7008 0
138046 7008 0
1385 7008 0
1387 7008 0
1389 7008 0
1390 7008 0
1393 7008 0
1396 7008 0
1397 7008 1
1400 7008 0
1401 7008 0
140461 7008 0
1407 7008 1
140803 7008 0
140890 7008 0
1409 7008 0
1410 7008 0
1428 7008 0
1429 7008 0
1431 7008 0
1437 7008 0
1440 7008 0
1445 7008 0
1452 7008 0
1454 7008 0
1456 7008 0
1457 7008 0
1459 7008 0
1462 7008 0
146562 7008 0
1471 7008 0
1472 7008 0
1478 7008 0
1482 7008 0
1487 7008 0
148753 7008 0
1490 7008 0
1491 7008 0
1493 7008 0
149603 7008 0
149628 7008 0
1503 7008 0
1506 7008 0
1508 7008 1
1509 7008 1
151 7008 0
151011 7008 1
1511 7008 0
1512 7008 0
1513 7008 0
1514 7008 1
1515 7008 0
1519 7008 0
152015 7008 0
1521 7008 0
1522 7008 1
1525 7008 0
1528 7008 0
1535 7008 0
1537 7008 0
1545 7008 0
1548 7008 0
1549 7008 0
1553 7008 0
1571 7008 0
1583 7008 0
1588 7008 0
1591 7008 0
1592 7008 0
1595 7008 0
16 7008 0
1603 7008 0
1604 7008 0
1607 7008 0
1608 7008 0
161176 7008 0
1612 7008 0
1615 7008 0
1620 7008 0
162427 7008 0
1627 7008 0
1628 7008 0
162972 7008 0
1632 7008 0
1633 7008 0
1634 7008 0
1636 7008 0
1638 7008 0
164 7008 0
1641 7008 0
1645 7008 0
