"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP006 HA1E 24H-BMS-345541-3.33","14/73",3.30273218828879e-08,1.29628325200539e-06,0,0,6.33986188158044,109.210021306729,"PRNP;SLC15A2;HIST1H2BK;KRT7;KRT5;PTN;HSD17B11;AQP3;IFI27;SLPI;PERP;TNFSF10;HIST1H2AC;TP63"
"LJP006 SKBR3 24H-AZD-8055-0.12","14/73",3.30273218828879e-08,1.29474918898526e-06,0,0,6.33986188158044,109.210021306729,"IFITM1;MBNL2;RBPMS;MVP;CYBRD1;TMC5;RND3;TM4SF1;NR4A2;GPRC5A;CEACAM6;CEACAM5;HES1;PNPLA2"
"LJP005 HEPG2 24H-GDC-0980-1.11","16/97",3.30658998581732e-08,1.29472931288634e-06,0,0,5.45284144159496,93.9239031513501,"MBNL2;ITGB5;SATB1;ARID5B;HSD17B11;CP;TM4SF1;NR4A2;NT5E;ADAM28;MARCKS;KRT18;ERBB3;TNFSF10;LCN2;LRP10"
"LJP006 LNCAP 24H-GSK-2126458-0.04","16/97",3.30658998581732e-08,1.29320070684988e-06,0,0,5.45284144159496,93.9239031513501,"IFITM1;PTEN;SPATA20;PTN;HSD17B11;SLC4A4;EGFR;ZNF91;ERBB3;TNFSF10;TFF1;CFTR;HIST1H2BD;MT1E;HIST1H1C;MSMB"
"LJP006 SKBR3 24H-QL-X-138-0.37","13/62",3.32846719658655e-08,1.30022174945903e-06,0,0,6.93148493735004,119.347478013508,"LGALS3BP;GRN;GSN;TM4SF1;KRT19;ELF3;IFI27;CEACAM6;CEACAM5;AGR2;DSG2;S100P;EXPH5"
"LJP006 A549 24H-GSK-2126458-0.04","17/110",3.36984714798074e-08,1.31483576706725e-06,0,0,5.10894064613073,87.903479210844,"LGALS3BP;ABCC3;IFITM1;PROS1;KRT8;SPATA20;HSD17B11;TM4SF1;EGFR;HLA-E;GULP1;NR4A2;TOX3;ABLIM1;MARCKS;AGR2;HIST1H2AC"
"LJP006 SKBR3 24H-PI-103-0.37","15/85",3.474861491931e-08,1.35421484449066e-06,0,0,5.83373845405931,100.195193723872,"IFITM1;MVP;PLEKHA5;TMC5;ZNF91;MEIS1;DEPTOR;ELF3;ERBB3;CEACAM6;CEACAM5;KIAA1324;AGR2;HES1;S100P"
"LJP009 A375 24H-vorinostat-10","22/182",3.50473839889197e-08,1.3642533983748e-06,0,0,3.996003996004,68.5976617894159,"TPD52;HSPB8;TTC39A;ARHGAP4;RHOB;PLA2G15;ENAH;RGS2;POR;KRT19;SYNGR2;CEACAM6;LCN2;HIST1H4H;ENPP4;MAN2B1;CD24;SLC25A4;HIST1H2AC;HIST1H2BD;HIST1H1C;BIRC3"
"LJP005 HA1E 24H-LDN-193189-0.04","12/52",3.59683868800132e-08,1.39846101383488e-06,0,0,7.62873490146217,130.761287424068,"KRT19;S100A2;SLPI;LMO3;TNFSF10;KRT7;COBL;CCL2;KRT5;WFDC2;TM4SF1;ASS1"
"LJP006 HME1 24H-OSI-027-1.11","18/124",3.64006750882186e-08,1.41360933525478e-06,0,0,4.79872034124234,82.1957380137908,"ABCA1;ABCC3;PTGER4;IFITM1;LEPROT;GRN;GSN;PLEKHA5;SPATA20;ANK3;RND3;EGFR;DNAJB2;GCNT3;PTK2B;CD24;SMPDL3A;FGFR2"
"LJP008 MCF7 24H-pracinostat-0.12","19/138",3.66917870068251e-08,1.42324606134437e-06,0,0,4.55144328662115,77.9239537645201,"ABCC3;IFITM1;MVP;KRT7;VTCN1;PTN;HSD17B11;RHOB;DHRS7;KRT18;IFI27;AGR2;FLNA;TFF1;S100A14;TGFBI;TKT;SYBU;GRINA"
"LJP006 SKBR3 24H-QL-X-138-3.33","19/138",3.66917870068251e-08,1.42158144606794e-06,0,0,4.55144328662115,77.9239537645201,"IFITM1;MBNL2;CRISP3;MVP;TNFAIP2;ARID5B;ANK3;GULP1;DEPTOR;PLCB4;HEY1;ELF3;ERBB3;CEACAM6;TRIM2;TNFSF10;AGR2;HES1;HIST1H2AC"
"LJP006 HS578T 24H-torin-1-0.04","16/98",3.8427456872622e-08,1.48708871070383e-06,0,0,5.39720020239501,92.1544603684138,"GRN;SERPINB2;ARID5B;TM4SF1;ASS1;HLA-E;MARCKS;DEPTOR;KRT18;CCND1;CEACAM6;TSPAN6;MXRA7;SPRR1A;HIST1H2AC;SPRR1B"
"LJP005 A375 24H-nilotinib-10","17/111",3.86927142740044e-08,1.4956065963135e-06,0,0,5.06291415382324,86.4118671065124,"CXCL6;IFITM1;SERPINB2;GADD45A;TNFAIP2;CXCL1;CXCL2;THBS1;ASS1;PLCB4;CCL8;NINJ1;TNFSF10;TFF3;CCL2;TGFBI;BIRC3"
"LJP005 HS578T 24H-PIK-93-10","17/111",3.86927142740044e-08,1.49386346508237e-06,0,0,5.06291415382324,86.4118671065124,"TPD52;ABCC3;GABRP;LINC00342;GSN;NEBL;PROS1;KRT7;TM4SF1;HLA-E;DNAJB2;NT5E;CCND1;TRPS1;TFF1;S100P;HIST1H2AC"
"LJP005 HT29 24H-NVP-AUY922-1.11","17/111",3.86927142740044e-08,1.49212439236399e-06,0,0,5.06291415382324,86.4118671065124,"FAM114A1;NEBL;PROS1;MVP;HSD17B11;CP;WFDC2;DNAJB2;PLCB4;SLPI;ERBB3;CEACAM6;TRIM2;TNFSF10;LCN2;SYBU;FGFR2"
