"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"LJP005 BT20 3H-CGP-60474-1.11","13/45",4.68869650246917e-10,3.04498660506434e-07,0,0,9.55004591368228,205.141636088611,"GADD45A;KRT7;RND3;AQP3;EGFR;TM4SF1;C1ORF116;KLF5;HEY1;KRT17;SLPI;KRT15;MAP7"
"LJP009 A375 24H-saracatinib-0.37","12/37",4.8875746146676e-10,3.11310305408473e-07,0,0,10.7214652669198,229.859152878989,"SERPINB3;MARCKS;CCND1;AUTS2;SEMA3A;TNFAIP2;MAP7;TNFSF10;TFF3;CLCA4;FGFR2;MSMB"
"LJP006 BT20 24H-BI-2536-3.33","18/96",5.32966806711304e-10,3.33064030284625e-07,0,0,6.19834710743802,132.350590723394,"LGALS3BP;PRNP;PSCA;RBPMS;KRT7;EGFR;HS3ST1;HOPX;NT5E;ABLIM1;KRT18;RAB25;NFIB;MAL;S100P;SLC16A3;SLC27A2;RAI14"
"LJP005 SKBR3 24H-CGP-60474-0.12","18/97",6.36251225225359e-10,3.90245867234984e-07,0,0,6.13444662179433,129.899530443084,"LGALS3BP;ITGB5;HLA-B;NDUFB2;KRT7;AQP3;TOX3;GPRC5A;KRT18;SLPI;ELF3;CEACAM6;EPCAM;ALOX5;STMN1;MAP7;TMBIM6;LRP10"
"LJP005 A375 24H-neratinib-0.12","14/55",6.42074197043784e-10,3.86657081459767e-07,0,0,8.41472577009767,178.108755198053,"GSN;S100A2;RBPMS;KRT7;KRT5;AQP3;PPL;TM4SF1;RGS2;KRT17;KIAA1324;TGFBI;CD24;SPRR1B"
"LJP009 A375 24H-RAF 265-3.33","19/109",6.5000937577275e-10,3.84445723838737e-07,0,0,5.76237773902495,121.897536507291,"SPRR3;S100A2;CRCT1;AK4;CXCL1;KRT5;AQP3;TM4SF1;EGFR;GPRC5A;CCND1;NFIB;STMN1;SLC16A7;TGFBI;SLC16A3;SPRR1A;SPRR1B;HBEGF"
"LJP006 BT20 24H-BI-2536-1.11","19/109",6.5000937577275e-10,3.77701062017005e-07,0,0,5.76237773902495,121.897536507291,"LGALS3BP;S100A2;RBPMS;MUC16;PSCA;CRISP3;RHOBTB3;AQP3;PPL;TM4SF1;HOPX;KRT19;SLPI;ELF3;RAB25;NFIB;PERP;S100P;FBP1"
"LJP006 HA1E 24H-dasatinib-0.37","20/122",7.15914369280581e-10,4.08824134912795e-07,0,0,5.41931987535564,114.117114494496,"TGFB2;SERPINB2;S100A2;AUTS2;GALNT3;GADD45A;SLC2A1;AK4;RND3;PRSS23;THBS1;RHOB;C1ORF116;MARCKS;GPRC5A;CCND1;NT5DC2;SDC1;CCL2;CD24"
"LJP006 BT20 24H-radicicol-3.33","19/110",7.63903170875765e-10,4.28834524111461e-07,0,0,5.70999248685199,119.867474504952,"LGALS3BP;ABCC3;RBPMS;CAD;SLC4A4;PPL;THBS1;HOPX;EGFR;TOX3;ABLIM1;MEIS1;KRT17;SDC1;FLNA;TAGLN2;CD24;TKT;SYBU"
"LJP006 LNCAP 3H-ZSTK-474-0.37","16/77",9.97875512170151e-10,5.5084391397646e-07,0,0,6.86916389395728,142.366118430924,"IFITM1;NEBL;CRISP3;AQP3;RND3;SCEL;GPRC5A;CCND1;SLPI;KRT17;DHRS9;CEACAM6;LCN2;MAL;CD24;BIRC3"
"LJP005 SKBR3 24H-GSK-690693-10","14/57",1.07328794308955e-09,5.82760163329e-07,0,0,8.11947223430477,167.687717433082,"TIMM8B;SATB1;NEBL;AQP3;SERPINB5;GULP1;KRT19;PERP;GSTA1;MAP7;SDC1;S100P;CD24;SMPDL3A"
"LJP006 HS578T 3H-WYE-125132-0.37","12/40",1.35662704051116e-09,7.24723293689839e-07,0,0,9.91735537190083,202.495183488149,"SERPINB3;ECM1;MEIS1;KRT19;PSCA;IFI27;ESRP1;MAP7;AQP3;SLC4A4;MPZL2;MSMB"
"LJP005 A549 24H-AS-601245-10","17/90",1.42971857766958e-09,7.51646174777683e-07,0,0,6.24426078971534,127.16929277681,"ABCC3;AUTS2;NEBL;PTPN13;SLC4A4;PBX1;TOX3;INPP4B;C1ORF116;RAB40B;ELF3;SETBP1;CEACAM6;TRPS1;TNFSF10;MAP7;HES1"
