"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"54","LJP006 MDAMB231 24H-geldanamycin-0.12-dn","1/89",0.0176827130771262,0.023904408419078,0,0,75.4090909090909,304.288333876803,"TKTL1"
"55","LJP005 BT20 24H-NVP-AUY922-1.11-dn","1/92",0.0182746461577158,0.0242417982938414,0,0,72.9120879120879,291.811721070286,"TKTL1"
"56","LJP005 PC3 24H-NVP-AUY922-1.11-dn","1/96",0.0190634741527162,0.0242417982938414,0,0,69.8280701754386,276.51783973817,"TKTL1"
"57","LJP006 MDAMB231 24H-geldanamycin-0.37-dn","1/96",0.0190634741527162,0.0242417982938414,0,0,69.8280701754386,276.51783973817,"TKTL1"
"58","LJP006 MDAMB231 24H-radicicol-1.11-dn","1/97",0.0192606068636,0.0242417982938414,0,0,69.0972222222222,272.912840088512,"TKTL1"
"59","LJP005 SKBR3 24H-NVP-AUY922-0.37-dn","1/100",0.0198518267597581,0.0245624297197007,0,0,66.993265993266,262.57737594325,"TKTL1"
"60","LJP008 PC3 24H-tanespimycin-10-dn","1/108",0.0214271065608529,0.0260696463157043,0,0,61.9595015576324,238.116467296843,"TKTL1"
"61","LJP006 PC3 24H-ZSTK-474-10-dn","1/113",0.0224106918459827,0.0268193525369957,0,0,59.1785714285714,224.773063104399,"TKTL1"
"62","LJP006 HS578T 24H-celastrol-1.11-dn","1/116",0.0230004870518634,0.0270812186255811,0,0,57.6260869565217,217.379423755416,"TKTL1"
"63","LJP006 SKBR3 24H-radicicol-3.33-dn","1/122",0.0241792768997073,0.0273757166697842,0,0,54.7520661157025,203.801389436101,"TKTL1"
"64","LJP006 MCF10A 3H-alvocidib-0.04-dn","1/123",0.0243756381306298,0.0273757166697842,0,0,54.3005464480874,201.681519393531,"TKTL1"
"65","CPC006 A375 6H-narciclasine-10.0-dn","1/123",0.0243756381306298,0.0273757166697842,0,0,54.3005464480874,201.681519393531,"MECP2"
"66","LJP006 HEPG2 24H-radicicol-10-dn","1/128",0.0253569998656497,0.0280463786392792,0,0,52.1496062992126,191.634182164701,"TKTL1"
"67","LJP007 HCC515 24H-tanespimycin-10-dn","1/134",0.0265336565820586,0.0282792080608941,0,0,49.781954887218,180.675704475293,"TKTL1"
"68","CPC017 A549 24H-cycloheximide-10.0-dn","1/134",0.0265336565820586,0.0282792080608941,0,0,49.781954887218,180.675704475293,"MECP2"
"69","LJP006 HME1 24H-OSI-027-10-dn","1/135",0.0267296624137218,0.0282792080608941,0,0,49.407960199005,178.954711785596,"TKTL1"
"70","LJP008 HEPG2 24H-tanespimycin-10-dn","1/138",0.0273175023451507,0.0284882524456572,0,0,48.3187347931873,173.958446014268,"TKTL1"
"71","LJP005 SKBR3 24H-radicicol-3.33-dn","1/144",0.0284923833890722,0.0292949857380601,0,0,46.2773892773893,164.66043385202,"TKTL1"
"72","LJP007 HCC515 24H-sutent-3.33-dn","1/152",0.0300572355940569,0.0304746971995299,0,0,43.8079470198675,153.531603085912,"TKTL1"
"73","LJP006 A375 24H-geldanamycin-1.11-dn","1/182",0.0359086017108702,0.0359086017108702,0,0,36.4917127071823,121.399841985978,"TKTL1"
"74","LJP006 BT20 3H-WYE-125132-0.12-up","1/24",0.00479166001182121,0.0378166400094538,0,0,289.463768115942,1545.99077797272,"TKTL1"
