"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","%DisGeNet","num_DisGeNet","%NCG","num_NCG","%DEGs","num_DEGs"
"123","bexarotene homo sapiens gpl96 gds2777 chdir up","89/1755",1.8119056816324e-10,1.02821964697514e-09,0,0,1.99654530363192,44.7854496274329,"CDA;RPL5;NDUFA13;HSP90AB1;CLIC3;UBXN2B;RPLP0;DBI;YBX1;HMGB1;ATP5G2;COX7C;SMCHD1;HINT1;CAPNS1;SUMO1;YWHAQ;C19ORF53;SEC61G;SUMO2;TXNL4A;ACTR2;ATP6AP1;ANXA3;VBP1;RPL23;APLP2;UBE2E1;NDUFC2;RPSA;WIPI1;DYNLL1;PSMA4;HAX1;NDUFS6;EEF1D;NCL;SUB1;SRSF2;FAM96B;YME1L1;PPIB;PTMA;GTF2A2;NDUFB5;STXBP2;COX17;NDUFB2;ATP5I;NEDD8;COX5B;UBE2J1;HSPD1;SEP15;MRPL20;RHOT1;PDCD10;PRDX1;RPL14;SERF2;CCT5;ZC3H15;POLR2L;DUT;NDUFA6;YIPF1;UBE2B;CSNK1A1;CBX3;NDUFA3;NDUFA1;KLHL2;NAP1L1;DEK;EIF2S2;KTN1;HIGD2A;DNAJA1;PSMC6;COPS5;SPCS1;SERBP1;HNRNPD;TCEA1;CYCS;DYNLRB1;C11ORF58;NOP10;RAN",1.12359550561798,1,0,0,1.12359550561798,1
"124","amoxicillin rattus norvegicus gpl341 gse2354 chdir up","29/282",1.88323231226616e-10,1.06007754351757e-09,0,0,4.04869604065449,90.6618889425104,"COX7B;NDUFB3;HMGB2;ATP5C1;NEDD8;DBI;ATP5H;ATP5G3;ATP5O;COX5B;HIGD1A;HSPD1;YWHAQ;RPL36AL;SEC61G;UQCRFS1;ACTR2;NPM1;HSP90AA1;EIF2S2;SPCS1;PSMA1;PPA1;UQCRQ;SUB1;MORF4L2;CYCS;PTMA;RAN",0,0,0,0,3.44827586206897,1
"125","imatinib homo sapiens gpl96 gds3049 chdir up","109/2351",2.23895597399774e-10,1.25023301588034e-09,0,0,1.82532479059003,40.5584270871151,"PARK7;C14ORF166;BZW1;PSMD8;KIAA0930;SMCHD1;SNRPD2;GRAP2;C3AR1;SNRPD3;IL4R;UBE2E1;RBX1;DPM1;TYROBP;PPA1;RUFY3;NCL;MORF4L2;SUB1;SNRPG;SRSF2;SRSF3;VDAC2;SNRPE;ERH;FAR2;PPIB;ENY2;SPATA2;ATP5J;ATP5I;HIGD1A;SAMSN1;SEP15;MRPL20;CYB5R4;TBXA2R;PRDX1;ZC3H15;XRCC6;UBE2B;CBX3;HSPA6;MRPL23;EIF2S2;HNRNPM;LSM7;CCPG1;COPS2;HNRNPD;CYCS;CD24;SELT;RSL24D1;NOP10;HSP90AB1;DBI;ATP5G3;HMGB1;MRPL3;SEC61G;UQCRFS1;ACTR2;CD52;HSP90AA1;ANXA3;NDUFC2;PPP2R5A;EDF1;PSMA6;PSMA3;NSA2;DNAJC1;PSMA4;HAX1;PSMA1;NDUFS6;NUMB;PECAM1;FAM96B;STRAP;PLEKHO2;PTMA;SF3B5;GTF2A2;USP10;NDUFB2;HSPD1;PSMB6;CNIH;EIF4H;CCT8;CCT5;CCT4;TIMM8B;NPM1;EMR2;CFLAR;DNAJA1;EIF3M;CLEC2B;SPCS1;SERBP1;NDUFAB1;SLIRP;SSBP1;FCGR2C;RAN",0.917431192660551,1,0,0,0,0
"126","estradiol mus musculus gpl75 gse280 chdir down","21/152",2.92775659910009e-10,1.62188421124751e-09,0,0,5.43928719436386,119.401135460632,"RPL5;HSP90AB1;NDUFB11;APLP2;RPL23;RPS5;RPL22;RPLP0;ATP5A1;NDUFB3;RPL36A;ATP5C1;RPSA;UQCR10;RPL10A;ATP5B;NSA2;SNRPD2;EIF3H;ERH;RPL29",0,0,0,0,4.76190476190476,1
"127","alitretinoin rattus norvegicus gpl85 gse3952 chdir down","22/169",3.55042116146416e-10,1.95133383519841e-09,0,0,5.12509900759447,111.515925854277,"COX7B;ORM1;NDUFA6;MDH1;NDUFA4;RPL23;RPLP0;HP;NDUFC1;UQCR11;ATP5O;EEF2;COX5B;COX5A;HSPD1;ATP5B;PRDX1;NDUFAB1;CYCS;UQCRFS1;RPL26;PPIB",0,0,0,0,9.09090909090909,2
"128","rosiglitazone mus musculus gpl1261 gse11343 chdir down","32/347",3.55670947280466e-10,1.93951813438879e-09,0,0,3.63067008554766,78.9925439393755,"IGHM;ORM1;NDUFA13;NDUFB8;NDUFB11;ATP5A1;NDUFB3;ATP5C1;DBI;UQCR10;RETN;COX5B;HIGD1A;ATP5G2;THBD;RPL36AL;BASP1;UQCRFS1;SNRPD3;SEPHS2;NDUFA8;MDH1;NDUFA4;NDUFA3;PPP2R5A;HIGD2A;SOD1;KLF7;UQCRQ;NDUFS6;RUFY3;RPL29",0,0,0,0,6.25,2
"129","cyclophosphamide mus musculus gpl13209 gse27440 chdir up","18/112",4.48879191258011e-10,2.42881918990768e-09,0,0,6.3273340832396,136.191230269674,"DUT;NDUFB4;NDUFB2;NDUFC2;PARK7;DEK;ATP5G2;TOMM20;COX5A;HINT1;SPCS1;SUMO1;GNG5;EIF3K;CDC42EP3;SRSF2;SNRPE;RAN",0,0,0,0,0,0
"130","ethanol homo sapiens gpl96 gds2767 chdir down","30/312",4.70101044806506e-10,2.52408099442263e-09,0,0,3.78558449424591,81.307061838966,"ZCCHC6;IGSF6;TNFAIP6;DGCR14;FPR1;HMGB2;CSF2RB;SLC2A3;LYST;SEC14L1;IL18RAP;BASP1;FAM53C;MAP3K5;P2RY13;MGAM;IL10RB;LIMK2;HSPA6;TNFRSF10C;KCNJ15;CFLAR;MAPK14;MMP9;IGF2R;F5;PTPRC;VNN2;EEF1D;CDC42EP3",3.33333333333333,1,0,0,3.33333333333333,1
"131","lubiprostone mus musculus gpl1261 gds4251 chdir down","24/206",5.70018163794818e-10,3.03719601777697e-09,0,0,4.58680529011543,97.6317692346196,"NPM1;HSP90AA1;HSP90AB1;MDH1;ATP5J;RPS27L;DBI;NDUFC1;DYNLL1;OLFM4;COX5A;ATP5J2;HSPD1;DNAJA1;BST1;PSMB7;CEACAM1;YWHAQ;PRDX1;MORF4L2;NDUFAB1;SERF2;RAN;HIST1H2BC",0,0,0,0,0,0
"132","cyclophosphamide mus musculus gpl13209 gds4003 chdir down","18/114",6.05000581935704e-10,3.19916974387213e-09,0,0,6.21632822213013,131.946487957031,"DUT;NDUFB4;NDUFB2;ATP5C1;NDUFC2;PARK7;DEK;ATP5G2;TOMM20;COX5A;PSMB6;HINT1;SPCS1;SUMO1;GNG5;EIF3K;CDC42EP3;SRSF2",0,0,0,0,0,0
